Name,League,Division,Team id,points,OR
Ade O'Connor,6,3,2560,53,358569
La Boneza,6,3,42356,52,1104981
Mark Oaten,6,3,281365,51,63735
Perry Lee,6,3,590179,49,549660
Ruban SK,6,3,15691,48,524281
Kuldeep Singh,6,3,819011,46,1690059
Olly Neech,6,3,1779401,43,1222599
Grzegorz Kotlarski,6,3,1531938,43,1329397
Wojciech Kołakowski,6,4,960,88,2405
Anders Sigsgaard-Rasmussen,6,4,40061,76,797
Rajiv Singh,6,4,3156146,70,22588
Simon Pyke,6,4,1091,67,67100
Ron Downey,6,4,1324187,67,100963
Jared Chambers,6,4,34888,64,170389
joseph wilkinson,6,4,3780778,60,155763
Leon !,6,4,33881,60,356559
Alex Godwin,6,4,784954,58,9084
Barry Dwyer,6,4,849214,57,1057049
FPL Rockstar,6,4,28861,56,558152
Pav Patel,6,4,19383,51,83331
Krasimir Yambolov,6,4,134490,51,259565
James Bamber,6,4,4524,51,464816
Tom Pooler,6,4,248903,48,621574
Jegan Vasan,6,4,1066651,46,552460
paul alexander,6,4,471356,43,103850
Phil Saward,6,4,23857,42,619438
Peter Glascott,6,4,139060,42,1021741
Kostikas Anastasiou,6,4,138450,36,983612
John Lloyd,6,5,8833,82,11373
David Harris,6,5,2852386,70,31293
Ben Yue,6,5,40989,68,17822
Arthur Lewis,6,5,6005534,67,37195
Ben Phippen,6,5,12194,66,62591
Mike Sosna,6,5,945436,64,172489
Abdo Ali,6,5,495543,61,553867
Aditya Naik,6,5,204604,58,470118
Nishant Gupta,6,5,2263883,58,1173306
Riku Juurikko,6,5,916278,58,3151825
timo riekko,6,5,284824,54,151489
Sam Coles,6,5,12761,52,569804
Atte Kinnunen,6,5,589721,52,800895
Slavcho Zdravkov,6,5,71664,49,1056391
elliot smith,6,5,1403739,49,1736185
Tom Barrett,6,5,400011,47,1614530
ethan dryland,6,5,5630689,46,571008
Nick Martin,6,5,6666900,45,965427
Leon McDrai,6,5,7218258,43,839006
Osman Hassan,6,5,4348651,40,3254026
Aaron Coleman,6,6,154046,68,3091
Dan Furneaux,6,6,1551,67,43651
Tony Mawson,6,6,65688,67,44382
@ elevenify.com,6,6,8558090,65,1309
Bernardo Gomes,6,6,438662,64,2241
Kristian Stokholm,6,6,12844,64,28654
Peter Foulger,6,6,155653,63,348594
Bruno Santos,6,6,10077,62,200152
Philip Wilson,6,6,442856,59,143785
Nicholas Gaunt,6,6,38089,56,91094
Joe Burgess,6,6,2224494,56,111025
Marta Lima,6,6,6064370,56,482026
Gabriel Ghintuiala,6,6,363287,55,19792
Sreeraj Sreekumar,6,6,81435,52,2187270
Lovro Hamer,6,6,5720350,49,2097801
Cathal McErlean,6,6,2348632,48,1042749
Sam Judge,6,6,658525,46,524281
Rossano Polvara,6,6,79355,46,643343
Dansen Low,6,6,19801,43,928604
Simeon Wentzel,6,6,2440952,38,2263157
Andre Martins,6,7,1264,68,60952
Ivan Gore,6,7,268002,68,807313
Chirag Kalwani,6,7,264206,66,15793
Pontus Eccleswing,6,7,622116,64,106145
Jorge Marques,6,7,790542,63,170478
Aggie Hodgson,6,7,18540,63,243545
Sajeesh Nair,6,7,420823,61,400425
Robert Konuwa,6,7,22613,59,232174
Jose Holliday,6,7,764142,59,338916
Pasquale Egisto,6,7,60709,58,217705
Brandon Walsh,6,7,1000884,57,743510
joehan nasi kandar,6,7,280358,55,235930
Ansel B,6,7,37391,53,117473
Faron Collins,6,7,40905,53,243157
Brian Keen,6,7,109506,53,528247
Ben Oporo,6,7,1913,52,969872
Jesper Engsted,6,7,1064941,48,699765
Greg Wozniak,6,7,6148,48,762806
Mubarak Damiel,6,7,3395,43,753364
Filip Szymański,6,7,2143466,35,447377
André Mærli,6,8,79813,85,24979
Rahul Mohnani,6,8,5643,76,3455
Nathan Brown,6,8,11411,69,26814
besim bekir,6,8,255743,68,43525
Steve Foster,6,8,1541415,67,57145
Krzysztof Szuba,6,8,5298113,63,105086
Brendan Ashley,6,8,5925,63,224717
Adam Cuttler,6,8,672705,60,215480
Nathann,6,8,704506,60,1073055
Ben Watts,6,8,26342,55,310166
Richard Beach,6,8,7199,54,1679007
Jonathan Davies,6,8,158724,53,382199
Gila M,6,8,2547,52,363526
Andy Kiely,6,8,3059388,52,650137
patrick eagers,6,8,704176,50,1033986
Daniel Wigmore,6,8,25732,46,1631937
Baden Reynolds,6,8,2424514,43,1333516
Nazif Sidique,6,8,15166,42,647797
David McAuliffe,6,8,143700,38,1082466
Dan Lambe,6,8,165447,34,2064104
Whitney Baxter,6,9,736138,83,61667
Harald André Løvland,6,9,1938811,75,46567
Patrick Zrebiec,6,9,12155,72,45376
Lloyd Greenfield,6,9,1520656,71,279689
Stephen McCusker,6,9,2281,64,137927
Ali Uner,6,9,3117948,59,148726
Charles Hazel,6,9,166543,58,86557
Daniel Raudi-Sætren,6,9,481915,58,111667
Michael Clarke,6,9,314592,58,145601
Martin Westergaard,6,9,206151,57,130930
Mark Bateman,6,9,143782,57,329798
David Zachery,6,9,2003932,56,788833
Ben Foster,6,9,1314857,50,782033
Simon Witham,6,9,1047579,49,182937
Simon Choi,6,9,3871887,49,336468
Jeffrey Marques Oliveira @SteppsFPL,6,9,12542,48,691123
Vicente Del Bosque,6,9,7797336,48,1334274
EB Christen,6,9,341922,46,303140
Stephen Brogan,6,9,42792,37,1613220
Mushfiqur Rahman,6,9,6796353,36,6237241
Richard Phillips,6,10,1472096,88,7169
Alex Hemmings,6,10,866,70,28654
Darryn Petersen,6,10,101128,68,9301
Kartik Pattani,6,10,1695058,64,724513
Anubhav Parasuraman,6,10,369994,63,403335
Alex Clift,6,10,4117863,62,23091
Shirin Nizar,6,10,2943013,61,71695
Filip Krivoshiev,6,10,85619,60,116488
Rory Walton,6,10,93942,58,55049
David Hughes,6,10,21274,58,375665
Nikolay Kolev,6,10,9371,58,404783
Robert Scott,6,10,414130,57,275536
Peter P,6,10,313740,55,629503
Ryan Faloon,6,10,23574,53,302093
paul dryland,6,10,2058575,48,1391945
Wikki Yuen,6,10,328367,45,674853
Pete Hopton,6,10,25270,45,1591393
Tony Gorman,6,10,277181,44,704670
abc pqr,6,10,753716,37,957321
Don Stevens,6,10,10449,37,1527425
Alberto Mangiantini,6,11,22315,91,13925
SHARAVANAN SHANMUGA SUNDARAM,6,11,577276,76,57417
Jeffery O'Neill,6,11,2721866,73,439276
Theo Sparkes,6,11,2122510,67,63349
Peter Leahy,6,11,3535792,63,189531
Andy Southey,6,11,378302,62,239296
Les Caldwell,6,11,22260,57,335937
Steven Bulman,6,11,697058,57,494732
Dwarak Mukund,6,11,2951563,57,581018
Andrew Tucknott,6,11,2675034,57,1436768
Souvik Mukherjee,6,11,2150525,53,142137
Joe Boss,6,11,6960,51,248617
Gordon Shen,6,11,734672,51,254824
Nikita Shved,6,11,16583,50,696368
Constantin Zieger,6,11,156431,49,621574
Cameron Brown,6,11,4318660,47,305266
Oliver Graham,6,11,302963,46,1761264
James Hanley,6,11,917995,44,876875
Jonathan Coffey,6,11,2020659,40,513042
Alan Burbury,6,11,72751,39,1272595
Garry Murray,6,12,250030,77,53603
Jamie Luland,6,12,964892,70,687022
Rainer Printsmann,6,12,59780,63,24371
Zoltán Barna,6,12,2860074,63,57145
Thai Son Wansueb,6,12,776700,63,100938
Craig Miller,6,12,94211,63,167266
James Patten,6,12,6094887,61,2206142
Ewan White,6,12,3304,60,311417
Adam Shipway,6,12,2809353,60,910675
Ryan Todd,6,12,240094,57,2033096
Carmen Alvaro Jarrin,6,12,2536232,56,966095
Aron Pickering,6,12,174150,55,580138
Jansar Mahmood,6,12,7480,55,712988
Colman Lane,6,12,71759,54,710693
Sean Graham,6,12,2961817,53,519871
Matt Eyre,6,12,3055506,53,681566
David Agnew,6,12,10231,49,809062
Sham Bear,6,12,260012,40,2043608
Deleted Player,6,12,2481281,39,0
Sam Jones,6,12,6521,34,2407373
Karthik Subramanian,6,13,30936,73,76132
Kasper Keller,6,13,267217,70,44996
William O Reilly,6,13,5167475,68,143229
Mark James,6,13,25958,67,109732
Nicholas Ireland,6,13,366695,66,250449
Sarunas Neciunskas,6,13,1662171,66,546487
Eero Tagapere,6,13,1213661,65,108474
Juho Kalliokuusi,6,13,2326477,64,43525
David Edson,6,13,132413,64,313718
Eric Beckman,6,13,393028,62,495359
Jamie Stones,6,13,265573,60,27285
Usama Usman,6,13,24456,58,468845
Daniel Briggs,6,13,146559,54,563642
Paul Woodhead,6,13,631855,52,136214
Gary Walke,6,13,2986465,51,949805
Ryan Doolan,6,13,183808,47,785504
Kevin McD,6,13,964984,40,4198325
Jack Bell,6,13,1898238,35,3973088
Jonathan Hancock,6,13,2714,34,2970312
Magnus Steinvoll,6,13,1279205,33,5585520
Robert Adams,6,14,3638502,73,12746
Robert Schad,6,14,1609777,67,67796
Dan Burge,6,14,83545,66,34461
Matt Warner,6,14,636026,63,16610
Mohd Rodzi,6,14,10647,63,54786
Donough Hughes,6,14,3954671,62,518998
Pramod B,6,14,983190,60,434499
Dave G-Jones,6,14,2701039,60,628344
Jason Doyle,6,14,506247,59,549443
Nic Tsau,6,14,78923,58,17822
Lukasz Gajewski,6,14,283383,58,116488
Paul Reading,6,14,6292159,56,563642
Thiga M,6,14,1207203,56,579355
Juha L,6,14,813596,55,498458
Dusan Krcmarik,6,14,552905,54,121954
Ravi Chikkonti,6,14,287220,53,205948
vineeth Mac,6,14,2591459,51,546487
e'l 7,6,14,6503454,49,1260279
Carl Tetley,6,14,3924796,46,1281944
jakub kicinski,6,14,4869700,22,4150704
Michal Wegrzyn,6,15,1386812,75,24822
Henrik Hammen,6,15,2601597,74,8740
Brian Melican,6,15,1044460,71,188235
James Esdon,6,15,5035915,69,344981
Janusz Idczak,6,15,1079,64,144267
Ibrahim Masmoum,6,15,5574947,63,428380
Anthony Baker,6,15,116718,62,341804
Phil Wantling,6,15,281144,58,136916
Henry Elks,6,15,7144249,57,391022
Faris Ihsaan,6,15,162448,57,553271
Stan Bem,6,15,71753,55,1369034
Long Vu,6,15,8488,52,220320
David O'Regan,6,15,127709,52,260240
Darius Fernandes,6,15,299474,51,300105
Johannes Lehikoinen,6,15,20686,51,930343
Chris Clarke,6,15,2095692,50,349474
Shekar Reddy Sama,6,15,421209,49,1147533
Dhruv Patel,6,15,150302,48,3546061
Shivam Shukla,6,15,6000851,40,2657183
Tom Strong,6,15,260697,33,1411377
Andy Whiteley,6,16,154588,82,4800
Andrew Green,6,16,1080321,78,28234
Emmanuel Ackah,6,16,702511,78,88816
Andy Green,6,16,737111,68,111345
Michal Trela,6,16,7419216,66,14186
Amit Patil,6,16,30695,61,170273
Nick Shak,6,16,1323093,61,222972
Eivind Javnes,6,16,490319,61,513042
Swee Yang Yeow,6,16,89835,59,224015
James Kennedy,6,16,1620386,58,168688
Włodzimierz Męczypięta,6,16,79863,58,189947
Deniss Maksimovs,6,16,8089,58,365720
Ovidiu Lucian,6,16,7886,57,21723
Tom Lasparini,6,16,330131,56,494732
James Morris,6,16,2574,55,159377
ALAN DAY,6,16,1870022,53,369933
Duncan Burman,6,16,1805867,43,599783
Jaakko Hokkanen,6,16,10776,42,3850327
Divyansh Bhatia,6,16,26722,31,3421278
Peter Benson,6,16,672991,6,10708997
Jahn Oscar Staff,6,17,127717,84,2583
Nick Bengtson,6,17,1630837,74,27516
Peter K-H,6,17,3555234,73,13759
Joel Newman,6,17,25217,70,113667
Oliver Simpson,6,17,5344075,66,95577
Dax Cottam,6,17,1963177,64,93730
ankur tandon,6,17,2134133,60,712238
David Claase,6,17,12258,58,11801
Sng Junyang,6,17,4745,57,582190
Ciaran Shanley,6,17,149647,56,433596
Jay Bansal,6,17,9447,53,1314990
Marko Vićentijević,6,17,2700976,52,1048395
Robert G,6,17,2227,51,815267
Gideon Nsiah,6,17,3704831,50,223573
Per-Axel Giertz,6,17,654245,48,982016
Joseph Allegretti,6,17,681699,46,581018
Kingsley Bailie,6,17,6354592,46,1099105
Keiran Morris,6,17,586854,45,282418
Neil Preston,6,17,3262310,44,451057
Sashin Chetty,6,17,2315902,29,1451183
Oliver Lanneberg,6,18,326459,79,112556
David Hale,6,18,2202712,70,9897
Kalon Wright,6,18,266234,69,38625
Richard Ha,6,18,205527,65,93109
Muhammad Dali,6,18,1646538,63,56867
Calum Langan,6,18,21643,62,92921
darren ruxton,6,18,674857,61,59413
K D,6,18,1176377,61,178855
dan burden,6,18,2089890,59,91874
Krzysiek Zajecki,6,18,63594,59,262441
Johan Olsson,6,18,362660,57,102312
Isaac Woolner,6,18,484991,57,246019
Bill Hallett,6,18,2336464,52,289818
Adrian Formoe Zeka,6,18,305805,51,119006
Chris Moore,6,18,1033,47,467247
Fridolf Östblom,6,18,7154920,47,485008
Beem Kanhakhun,6,18,6033343,47,673473
Jeff Ryan,6,18,393292,43,951889
Pete Killeen,6,18,34329,42,675311
Paul Nicolas,6,18,1509717,37,905177
Lennox Desborough,6,19,17086,82,10876
Turtle Bear,6,19,1124,76,737534
Sanjay Lalwani,6,19,69641,73,236287
Andy Short,6,19,283584,68,103156
Mike Finn-St James,6,19,316996,66,167619
jonas rosell,6,19,612131,66,665539
Bernd Meyer,6,19,696082,60,256832
David Page,6,19,3386974,59,598159
Ville Annunen,6,19,2826634,59,642372
Craig Perrin,6,19,3301,58,219596
Harry Tennant,6,19,13247,56,96551
U9ly Kw4n,6,19,5815136,54,87198
Thomas Buckman,6,19,10836,54,184325
Ronan McGrann,6,19,7735159,51,3957672
James C,6,19,111149,50,49894
Jamie Ayers,6,19,27562,47,1354856
Dan Bowen,6,19,59784,40,623323
Ian Lamerton,6,19,61622,37,4007380
Marcus Tan,6,19,6012544,36,681566
Julius Judah,6,19,4447,35,2220420
Chris Hayes,6,20,55927,81,15059
Neil Reynolds,6,20,19671,73,126787
Y SP,6,20,2462928,72,24979
Per Sigve Eikenes,6,20,521589,71,88816
Tony Earnshaw,6,20,265790,67,43778
Ryan Paddock,6,20,626850,67,172917
glenn loite,6,20,128105,65,26704
Vasco Conceição,6,20,2567437,63,492869
CFC Rabbit,6,20,5690853,61,85843
Todd Byerly,6,20,174293,60,91094
Junyu Zhu,6,20,1959401,56,142912
Jose Ayora,6,20,3291855,52,1471262
Tarek Kira,6,20,20387,46,724513
George Hagivreta,6,20,16111,45,340438
Migs Antun,6,20,272011,45,705916
Tom Parkinson,6,20,638720,45,1267468
Melvin Tromö,6,20,580433,43,3499428
Matthew Pouncey,6,20,37879,42,788833
John Targett,6,20,19039,41,2936713
Mun Ian Chan,6,20,347499,36,1076423
Henrik Palm Strand,6,21,5874,78,30162
Rui Vicente,6,21,20839,78,54295
jake pains,6,21,2394773,67,79479
Ben Thompson,6,21,1788449,67,128740
Ryan TMGB,6,21,675996,63,225048
james pitcher,6,21,1443066,61,65744
David Paynter,6,21,6948065,60,324660
Kushank Mishra,6,21,7938720,60,572149
Chris Harrison,6,21,664829,60,1372118
shuaib loubscher,6,21,47457,59,618819
Lahiru Hapuarachchi,6,21,734607,58,243545
Max Hansson,6,21,3638240,58,1826809
Igz $,6,21,11108,57,205777
Ken Atkins,6,21,19760,57,357116
Mario Mirkovic,6,21,117248,49,1738332
Lenny van Gessel,6,21,873755,48,930802
Jon Campbell,6,21,21580,46,553575
Paul Kennedy,6,21,4736559,43,4105585
Jayesh Padlekar,6,21,149214,33,1516634
Angelos Poly,6,21,7145251,31,6711884
James Williams,6,22,111199,83,1636
Noam Jacobi,6,22,48464,74,84683
Figo Saxa,6,22,429212,69,36764
John Gadd,6,22,24906,66,422357
paul kaye,6,22,232520,63,313473
Patrick Winterbottom,6,22,126815,61,165082
Matt Studdert,6,22,28387,61,423578
Fred Berrington,6,22,572107,60,553271
Reuben Cox,6,22,290912,57,558697
Mouad Aderraz,6,22,329333,55,596711
Sasitaran Sastry,6,22,2860,54,158337
Mengai Radu,6,22,44008,53,278102
Martin Sahlin,6,22,434766,52,579355
William Garrison,6,22,2836253,50,160206
Miljan Hiršl,6,22,795978,49,847708
Sean Johnson,6,22,25747,49,1639706
simon jones,6,22,1270632,48,107306
Gwion Dafydd,6,22,127113,42,1509123
Michael Jackel,6,22,2743425,42,1723795
Ken Naunton,6,22,6042,39,490247
Tavish Bhagat,6,23,121098,80,3914
Vegard Skog,6,23,950651,65,104647
Chris Rigden,6,23,461839,64,95122
Michal Moczydlak,6,23,1464872,64,159928
Miroslav Basarić,6,23,45145,63,75874
Michael Peeters,6,23,211720,62,201465
David Rhodes,6,23,13905,62,575500
Adi B,6,23,618056,60,1726451
Fredrik Drægebø,6,23,20,58,225934
Roar Samuelsen,6,23,164385,57,97627
Christoffer Ripegutu,6,23,5468888,56,472540
Barry Whenman,6,23,37794,54,440147
Seán Murray,6,23,2122137,53,904885
James Brockington,6,23,763382,52,819151
David Peres,6,23,134211,51,322053
iain henderson,6,23,1006370,49,500469
Ole Petter Hobbesland,6,23,3250878,48,858890
Toby Bryant,6,23,22401,48,4567542
Stefan Latinović,6,23,310211,46,975466
Janne Turtiainen,6,23,1750590,39,1052544
John Samoryk,6,24,503750,71,55049
Colin Innes,6,24,392,70,8559
Anthony Crocker,6,24,101792,70,208330
Abinesh Kumar Kar,6,24,49407,64,71330
Jonathan Cohen,6,24,20176,64,90149
David Squires,6,24,18553,64,1180551
Aled Wilcox,6,24,37457,63,20241
Preben Mathieu-Bjerke,6,24,116798,60,198996
T K,6,24,63820,56,775193
George Stephens,6,24,289858,56,784665
Sean McGing,6,24,14319,55,204855
Stuart Bulley,6,24,37680,52,117118
Mark Cahill,6,24,65863,51,105302
Jeremy Rowe,6,24,228669,51,841667
David Maw,6,24,1343,49,591928
Mohit Gang,6,24,4225396,49,600616
Ben Harrison-Hyde,6,24,90430,47,766129
Andrea Citta,6,24,301918,47,1182210
Finnbogi Laxdal,6,24,1064014,44,1095569
P J,6,24,864033,44,1273720
Tyrone Jacobs,6,25,87234,79,13829
Ankit Chitnis,6,25,1794,73,5864
Józef Filiński,6,25,7767,68,43778
Dylan Trant,6,25,30786,67,478985
Jesper Dalager,6,25,159919,66,225653
Gareth Aspden,6,25,1138672,65,192554
James Hayes,6,25,3124575,61,586089
Johan Lindblad,6,25,68180,57,230092
Paulo Cancela,6,25,6053814,55,289475
Darren Whalen,6,25,620658,55,766610
Mike Payne,6,25,516996,53,51405
Aniket Mukherjee,6,25,68498,52,253020
Ikhwan Aryandi,6,25,114036,52,1202221
Phil Bousfield,6,25,2486436,51,1716059
Tony KWAN,6,25,39057,50,172489
Joachim Gahrsen,6,25,3818932,49,1326872
Simon Brouckaert,6,25,6399636,48,891411
Kevin Horan,6,25,2357351,48,4995801
Ravi Chandra,6,25,5539478,46,1115813
Kimi Ahtinen,6,25,4703820,33,2431300
Nigel Bolton,6,26,8194,80,5590
Lâm Đào,6,26,110878,72,747424
James Harrison,6,26,32953,69,198374
Geoff Stewart,6,26,132852,63,182517
Mick Adams,6,26,4525864,62,300405
Andrew Newsham,6,26,183587,60,154513
Mohammad Parvez,6,26,11904,60,630835
Roger Butler,6,26,1780255,58,715353
Hersh Patel,6,26,118530,56,634949
Richard Williams,6,26,158385,55,548296
Joe Kavanagh,6,26,283023,54,212672
Ruairi Mitchell,6,26,451504,54,524830
Sigve Rørstad,6,26,354833,54,654587
Ace,6,26,2266360,52,172917
Wayne Cox,6,26,197025,51,371679
Andy Rob,6,26,2460506,51,544694
Tom Phillipps,6,26,1062277,48,446504
Gerry Kerley,6,26,129013,46,1046231
Lee Heron,6,26,163226,45,235540
Peter Stein,6,26,4443618,43,850241
Darren Teague,6,27,1516922,69,55406
John McCall,6,27,595712,69,60903
Marc White,6,27,7255,66,1301649
Andreas Olofsson,6,27,783963,64,301684
Steven Russell,6,27,96853,63,44756
Žarko Marković,6,27,195976,61,253020
Sivert Helgesen,6,27,73410,61,293558
Josh Waidley,6,27,741268,60,129310
Edward Cates,6,27,4334870,60,165675
Christopher Gallivan,6,27,267543,60,240019
Ross Harper,6,27,1558218,57,504606
Lars Erik Johansen,6,27,4050676,57,1666181
Alex J,6,27,2861,57,4072096
Andy May-Heggie,6,27,2965593,54,400869
Filip Cvijetic,6,27,4786724,52,404783
Kevin Latham,6,27,5043064,52,473303
Vegard Tapio,6,27,1398640,51,435989
nikhil tyagi,6,27,312036,46,3139060
Renato Gvozdanović,6,27,5650033,45,963977
Timothy Kahwai,6,27,676768,31,3605715
Rhys Morgan,6,28,6156118,70,375665
Marko Krstic,6,28,216323,68,67459
James Allen,6,28,3218992,68,277746
Richard Luff,6,28,158982,65,515292
Rodney McCain,6,28,132008,64,483357
Usman Abbas L,6,28,2494606,63,77654
Brian Cuffe,6,28,179407,62,29104
Nigel Bennett,6,28,87809,61,299543
Steve Etheridge,6,28,236129,60,424806
To Lima,6,28,6059527,57,264279
David Lyons,6,28,1366751,55,622590
Tobio Taiger,6,28,2375,55,666622
Edwin Habicher-John,6,28,5529,54,356559
Keenan Human,6,28,4250917,53,596711
Wasim Tabakh,6,28,3746031,52,1003361
Greg O Mara,6,28,354729,51,147256
John Dixon,6,28,1073781,45,1257499
Adam Pace,6,28,53272,44,1014632
Volodymyr Klyuka,6,28,332547,42,1003963
City G,6,28,257947,38,1682229
Kiran Chopra,6,29,2542265,67,157665
Ryan Berger,6,29,162140,67,378844
jeff oodian,6,29,1873329,67,715353
Ski House (Nitish),6,29,17905,66,154779
Salvador Leong,6,29,280209,66,163827
Ray Neeve,6,29,657083,61,347697
Leo Darutto,6,29,20451,61,421864
Tim Winstone,6,29,203256,61,756127
Louis Dewhurst,6,29,5108255,60,30242
Tapobroto Sarkar,6,29,2484,58,31902
Jien Chew,6,29,2553822,58,358569
Tom Baldwin,6,29,3996006,57,92921
Pedro Cruz,6,29,2675241,57,282827
Aditya Kumar,6,29,1800770,55,147416
Jon Nash,6,29,115212,51,565833
Salik Warsi,6,29,295777,50,768856
igor varga,6,29,33641,49,575557
Greg Jacobs,6,29,196902,46,199506
Bury Boy,6,29,3963406,45,718464
Oleksiy Pawlowsky,6,29,2572376,27,3878500
Nigel Hadley,6,30,1083478,74,14113
Stephen Diamond,6,30,512777,72,108777
Andrew Campbell,6,30,453420,71,99650
Andy Haig,6,30,290011,71,435989
Chris Ruemmler,6,30,356617,68,75522
Rhys Miller,6,30,14069,68,409814
Chris Williams,6,30,1948,63,155268
Paul Wrona,6,30,181389,63,273675
Jai Hiranandani,6,30,3140413,61,331713
Johnny Guerrero Concepción,6,30,24123,60,326214
Harry Higgins,6,30,531775,56,374628
Jørgen Skjånes,6,30,4840031,51,3241979
Ikenna Onyekwum,6,30,30138,50,500882
Prasanna A,6,30,428069,50,521574
:Michael-John Master,6,30,697030,49,580461
Cathal Byrne,6,30,2753495,47,374159
James Suggett,6,30,1157631,46,492869
Michał Łabędź,6,30,634047,42,1523199
Adrian Sansom,6,30,1273423,36,1675665
Karl Georg Øhrn,6,30,2552414,24,8720522
Arnór Sindri Sölvason,6,31,25140,81,7860
Ryan John MacKenzie,6,31,322331,74,14571
Richard Westcott,6,31,426515,73,136214
Nathan Jeffrey,6,31,3938,70,584523
Magomedali Gasanov,6,31,604532,66,344201
Aref AlHammadi,6,31,8128175,62,26454
Rob Marriott,6,31,87548,62,1124464
Åsmund Bjørkøy,6,31,31382,58,708864
Gustav Olbe,6,31,552056,57,113116
Kasper Pohjoiskoski,6,31,5434504,57,390677
Richard Anderson,6,31,1500479,56,543485
Martin Kaplan,6,31,4897,52,359025
Predrag Petrovic,6,31,627580,51,432566
Ming Song Chua,6,31,787175,51,1111486
Yoyo Toure,6,31,156318,51,1467280
Stephen McAleer,6,31,11930,50,499522
Luis Teixeira,6,31,636038,44,1206089
Mark Lloyd,6,31,393830,40,1610141
Brendan Walsh,6,31,29334,38,665087
Max Rogan,6,31,1978321,33,2705582
Sebastian Cornejo,6,32,31679,85,13342
Simon Linford,6,32,1563,81,16279
Luke Jones,6,32,2534,76,208330
Hiroyuki Mori,6,32,670261,69,261019
David Stefansson,6,32,2140569,68,37397
Bishisht Shome,6,32,3911915,62,247698
Adrian Devenney,6,32,648111,61,272501
Elias Lehtonen,6,32,1697100,60,364433
sharan sanil,6,32,8612,56,353930
Paul Whittenham,6,32,563101,56,384942
Can Danışman,6,32,796954,55,405775
Sean Flynn,6,32,3132145,55,620624
Per Loholmen,6,32,1334727,51,1970535
